,track_uri,artist_uri,genres
0,7v8v911KfBuFkqXvuDOtNm,7nqOGRxlXj7N2JYbgNEjYH,k-pop
0,7v8v911KfBuFkqXvuDOtNm,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
1,3vBwpaajHJQaqJkE7Xsv5H,4D9foUQxTrsS0w2BeyCD16,k-pop
1,3vBwpaajHJQaqJkE7Xsv5H,4D9foUQxTrsS0w2BeyCD16,k-pop boy group
2,6sh2KDPT9xD5V7hcdsDac0,2Uvrls9HlspsRUtW6mp4Q3,k-indie
2,6sh2KDPT9xD5V7hcdsDac0,2Uvrls9HlspsRUtW6mp4Q3,k-pop
2,6sh2KDPT9xD5V7hcdsDac0,2Uvrls9HlspsRUtW6mp4Q3,korean pop
3,7DF8lvLdV3htIbuTWpc7lR,4MCBfE4596Uoi2O4DtmEMz,chicago rap
3,7DF8lvLdV3htIbuTWpc7lR,4MCBfE4596Uoi2O4DtmEMz,melodic rap
3,7DF8lvLdV3htIbuTWpc7lR,4MCBfE4596Uoi2O4DtmEMz,rap
4,3XKI5295qhFbwNesz3ollU,2auC28zjQyVTsiZKNgPRGs,k-rap
5,6RooT9Bs4UTmK5TDY7JTRv,7K0fdSeyyo6Vlm0u4W7Uui,
6,7eBpUuPnDTfbeP1P4P93CS,1uAT5bTSp6dWbNmixIUP5t,k-pop
7,0MMIrw3mCssQj4uqJlBzdp,1uAT5bTSp6dWbNmixIUP5t,k-pop
8,3c88ZQLeFkKZfw3V0kvmKD,2NhXno18MV9YbhVmr5QX11,gen z singer-songwriter
8,3c88ZQLeFkKZfw3V0kvmKD,2NhXno18MV9YbhVmr5QX11,singer-songwriter pop
9,279HOB7dgskHprPl4W4zAb,4D9foUQxTrsS0w2BeyCD16,k-pop
9,279HOB7dgskHprPl4W4zAb,4D9foUQxTrsS0w2BeyCD16,k-pop boy group
10,1LOwVni0B6sUjGl0ynFtMe,4jGPdu95icCKVF31CcFKbS,singaporean pop
11,7lzA7zfZnw8VsFFjGE7Ghn,2GoeZ0qOTt6kjsWW4eA6LS,desi pop
11,7lzA7zfZnw8VsFFjGE7Ghn,2GoeZ0qOTt6kjsWW4eA6LS,filmi
11,7lzA7zfZnw8VsFFjGE7Ghn,2GoeZ0qOTt6kjsWW4eA6LS,gujarati pop
11,7lzA7zfZnw8VsFFjGE7Ghn,2GoeZ0qOTt6kjsWW4eA6LS,modern bollywood
12,786A4mxiKmPGHA7z7dPA9K,2dIgFjalVxs4ThymZ67YCE,k-pop
12,786A4mxiKmPGHA7z7dPA9K,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
12,786A4mxiKmPGHA7z7dPA9K,2dIgFjalVxs4ThymZ67YCE,pop
